Name,Current Active Users (Rounded to Nearest 100),Date Created,Days Since Last Update,Genre,Lowest Cosmetic Price,Highest Pass Price,Median Pass Price
Grand Piece Online,37700,2018-06-05,1,Adventure,75,5000,162.5
Pet Simulator 99,71000,2022-02-05,1,All Genres,175,3250,625
Creatures of Sonaria,28900,2020-06-25,1,All Genres,,,
TYPE://SOUL,36900,2023-07-14,0,Fighting,,,
Catalog Avatar Creator,38300,2021-07-03,1,All Genres,,,
Attack on Titan Revolution,21100,2023-05-07,5,Adventure,79,1649,299
Tower Defense,13000,2019-06-04,18,All Genres,70,2250,382.5
South Bronx: The Trenches,10300,2022-07-10,0,All Genres,100,800,600
Bee Swarm Simulator,36600,2018-03-21,13,Adventure,250,800,400
Anime Defenders,239900,2024-04-05,0,All Genres,99,1299,299
Five Nights TD,11200,2024-01-02,0,All Genres,799,799,799
Southwest Florida Beta,12300,2020-05-28,2,Town and City,19,399,149
Blox Fruits,429200,2019-01-15,27,Adventure,350,2700,450
Dungeon Quest,7900,2018-09-25,3,Fighting,180,1200,400
Ultimate Football,13600,2018-09-11,1,Sports,199,799,399.5
Emergency Response: Liberty,14800,2018-11-01,1,Town and City,75,400,217.5
Blade Ball,38300,2023-06-16,1,Fighting,159,319,319
Adopt Me!,133500,2017-07-14,1,RPG,85,1060,640
Greenville,10200,2017-06-28,2,Town and City,65,500,100
Skibidi Tower Defense,9700,2023-11-24,1,All Genres,49,499,224
Anime Last Stand,9600,2023-03-24,0,Adventure,499,999,749
Fruit Battlegrounds,9100,2022-03-28,6,Fighting,199,749,544
Toilet Tower Defense,81500,2023-06-17,10,All Genres,79,229,149
Dragon Adventures,13700,2019-07-15,0,Adventure,175,500,350
War Tycoon,15100,2020-01-28,2,Fighting,19,1999,199
Welcome to Bloxburg,251000,2014-11-03,2,Town and City,100,600,275
Gym League,112700,2024-05-10,2,All Genres,39,999,499
Car Crushers 2,5700,2017-02-11,0,All Genres,20,750,250
The Presentation Experience,1900,2021-10-18,0,Comedy,99,399,299
Combat Warriors,7500,2019-11-02,65,Fighting,199,1999,499
Royale High,27000,2017-04-10,0,All Genres,50,1649,249
Da Hood,13400,2019-01-26,8,Town and City,15,175,100
Horse Life,10400,2023-12-20,0,Adventure,,,
Theme Park Tycoon 2,12800,2012-01-01,18,Building,98,498,98
Dress To Impress,104600,2023-10-18,5,All Genres,59,799,199
Emergency Hamburg,14500,2021-10-11,4,Town and City,199,799,349
Arm Wrestle Simulator,17600,2023-04-14,2,All Genres,19,599,189
Demonfall,11100,2020-04-03,0,Fighting,25,300,162.5
Sonic Speed Simulator,5300,2022-03-08,4,Adventure,199,2499,649
Heroes Battlegrounds,9200,2023-04-10,2,Fighting,95,799,222
Project Smash,3700,2023-10-16,1,Fighting,299,299,299
King Legacy,10800,2019-12-17,6,Adventure,350,2500,1000
PLS DONATE,19100,2022-02-05,15,All Genres,49,100000,399
Jujutsu Shenanigans,60400,2022-04-16,0,Fighting,100,300,150
Slap Battles,24400,2021-02-16,1,Fighting,2,799,249
Booga Booga,5400,2022-12-03,0,Adventure,149,999,249
Driving Empire,24400,2019-06-22,1,Adventure,10,500,30
BedWars,45100,2021-05-27,4,Fighting,399,799,399
SharkBite 2,5000,2022-02-22,1,Fighting,99,950,475
Jailbreak,23000,2017-01-06,1,Town and City,200,800,335
